Years At Western,Time Type,Job Family,Department,Race Ethnicity,Veteran Status,Veteran Status (External),Disability Status,Disability Status (External),Age,Gender
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,Not Specified,39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
4,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
3,Full time,Administrative,"Communication Arts, Languages, and Literature",Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
3,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
3,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
3,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",39,Female
3,Full time,Administrative,"Communication Arts, Languages, and Literature",White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,Not Specified,40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,Not Specified,40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,Not Specified,40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",40,Female
3,Full time,Administrative,Computer Science and Mathematics,Histpanic or Latino,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",40,Female
3,Full time,Administrative,Computer Science and Mathematics,White ,Not Specified,Not Specified,Not Specified,Not Specified,41,Female
3,Full time,Administrative,Concurrent Enrollment,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Concurrent Enrollment,White ,Not Specified,Not Specified,Not Specified,Not Specified,41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Custodial Services,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,41,Female
3,Full time,Administrative,Custodial Services,White ,Not Specified,6 - Newly Separated Veterans (United States of America),Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
2,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",41,Female
2,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",41,Female
2,Full time,Administrative,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",41,Female
2,Full time,Classified,Custodial Services,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past","YES, I HAVE A DISABILITY (or previously had a disability)",42,Female
2,Full time,Classified,Custodial Services,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,42,Female
2,Full time,Classified,Custodial Services,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Custodial Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",42,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,43,Female
2,Full time,Classified,Education,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",43,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,44,Female
2,Full time,Classified,Education,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",44,Female
2,Full time,Classified,Education,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",44,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,45,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,45,Female
2,Full time,Classified,Education,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,45,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,45,Female
2,Full time,Classified,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Faculty,Education,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,45,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",45,Female
2,Full time,Faculty,Education,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Female
2,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Female
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Female
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,Histpanic or Latino,Not Specified,Not Specified,"Yes, I have a disability, or have had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",46,Male
1,Full time,Faculty,Education,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,Not Specified,47,Male
1,Full time,Faculty,Education,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Finance and Administration,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Finance and Administration,White ,Not Specified,Not Specified,Not Specified,Not Specified,47,Male
1,Full time,Faculty,Finance and Administration,White ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Finance and Administration,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Finance and Administration,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Finance and Administration,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Financial Aid,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Financial Aid,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Financial Aid,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Financial Aid - Student Accounts,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",47,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,Histpanic or Latino,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",48,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"YES, I HAVE A DISABILITY (or previously had a disability)",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",49,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Graduate Program in Creative Writing,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,50,Male
1,Full time,Faculty,Graduate Program in Creative Writing,White ,Not Specified,Not Specified,Not Specified,Not Specified,50,Male
1,Full time,Faculty,Graduate Studies,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Graduate Studies,White ,Not Specified,Not Specified,Not Specified,Not Specified,50,Male
1,Full time,Faculty,Grants Supervisory,White ,Not Specified,Not Specified,Not Specified,Not Specified,50,Male
1,Full time,Faculty,Grounds Maintenance,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Grounds Maintenance,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Grounds Maintenance,White ,Not Specified,Not Specified,Not Specified,Not Specified,50,Male
1,Full time,Faculty,Grounds Maintenance,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Human Resources,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Human Resources,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Human Resources,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Human Resources,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Information Technology Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",50,Male
1,Full time,Faculty,Information Technology Services,Histpanic or Latino,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Full time,Faculty,Information Technology Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Full time,Faculty,Information Technology Services,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Full time,Faculty,Information Technology Services,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability","No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Full time,Faculty,Information Technology Services,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,51,Male
1,Full time,Faculty,Information Technology Services,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,51,Male
1,Full time,Faculty,Information Technology Services,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,51,Male
1,Full time,Faculty,Institutional Research,White ,Not Specified,Not Specified,Not Specified,Not Specified,51,Male
1,Full time,Faculty,IT Services - Audio Visual Services,White ,I AM NOT A VETERAN,Not Specified,"Yes, I have a disability, or have had one in the past",Not Specified,51,Male
1,Full time,Faculty,IT Services - Enterprise Information Systems,White ,I AM NOT A VETERAN,Not Specified,"No, I do not have a disability and have not had one in the past",Not Specified,51,Male
1,Full time,Faculty,IT Services - Enterprise Information Systems,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Part time,Faculty,IT Services - Enterprise Information Systems,White ,Not Specified,Not Specified,Not Specified,Not Specified,51,Male
1,Part time,Faculty,IT Services - Enterprise Information Systems,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Part time,Faculty,IT Services - Enterprise Information Systems,White ,Not Specified,Not Specified,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",51,Male
1,Part time,Faculty,IT Services - Enterprise Information Systems,White ,Not Specified,Not Specified,Not Specified,Not Specified,51,Male
1,Part time,Faculty,IT Services - Enterprise Information Systems,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Front Line Support,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Front Line Support,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Front Line Support,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Networking,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Systems,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Systems,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Web Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,IT Services - Web Services,Histpanic or Latino,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,Library Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,Library Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,Library Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,52,Male
1,Part time,Faculty,Library Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,53,Male
1,Part time,Faculty,Library Services,White ,Not Specified,Not Specified,Not Specified,Not Specified,53,Male
1,Part time,Faculty,Library Services,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,53,Male
1,Part time,Faculty,Marketing,White ,I AM NOT A VETERAN,Not Specified,"No, I Don't Have A Disability, Or A History/Record Of Having A Disability",Not Specified,53,Male
